"primary_timestamp","dc_voltage_pv","ac_power_inverter","ac_energy_inverter_day","ac_power_grid","ac_power_load","dc_power_pv","dc_power_akku","autonomy","self_consumption","state_of_charge_akku","ac_power_grid_phase1","ac_power_grid_phase2","ac_power_grid_phase3"
"2024-07-05 14:23:56+00","371.1","2295","16129",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2024-07-05 14:24:01+00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-734.8","-539.2","-780.6"
"2024-07-05 14:24:05+00",NULL,NULL,NULL,"-2020.8","-255.2","2375.4","-1.678","100","11.212654","44.4",NULL,NULL,NULL
"2024-07-05 14:24:10+00","369.1","2375","16138",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2024-07-05 14:24:16+00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-756.9","-516.7","-802.5"
"2024-07-05 14:24:20+00",NULL,NULL,NULL,"-2118.2","-249.8","2484.1","-1.678","100","10.548986","44.6",NULL,NULL,NULL
"2024-07-05 14:24:25+00","367.3","2369","16146",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2024-07-05 14:24:30+00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-748.4","-538.8","-792.9"
"2024-07-05 14:24:35+00",NULL,NULL,NULL,"-2050.3","-292.7","2453.7","-1.677","100","12.492531","44.9",NULL,NULL,NULL
"2024-07-05 14:24:40+00","370.1","2241","16157",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2024-07-05 14:24:45+00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-710.6","-504.5","-754"
"2024-07-05 14:24:50+00",NULL,NULL,NULL,"-1991.1","-247.9","2349","-1.677","100","11.071907","45.1",NULL,NULL,NULL
"2024-07-05 14:24:55+00","370.1","2223","16166",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2024-07-05 14:25:00+00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-705.7","-509.5","-749"
"2024-07-05 14:25:05+00",NULL,NULL,NULL,"-2002.4","-234.6","2350.3","-1.677","100","10.48726","45.4",NULL,NULL,NULL
"2024-07-05 14:25:10+00","370.7","2226","16176",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2024-07-05 14:25:16+00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-740.5","-545.5","-784.6"
"2024-07-05 14:25:20+00",NULL,NULL,NULL,"-2060.3","-273.7","2442.4","-1.677","100","11.726649","45.6",NULL,NULL,NULL
"2024-07-05 14:25:25+00","370.6","2342","16184",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2024-07-05 14:25:31+00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-748.6","-553.1","-793.4"
"2024-07-05 14:25:35+00",NULL,NULL,NULL,"-2074.2","-260.8","2448","-1.677","100","11.169165","45.9",NULL,NULL,NULL
"2024-07-05 14:25:40+00","370.2","2335","16195",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2024-07-05 14:25:45+00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-744.8","-541.3","-789.1"
"2024-07-05 14:25:50+00",NULL,NULL,NULL,"-2035.8","-275.2","2416.7","-1.677","100","11.908265","46.1",NULL,NULL,NULL
"2024-07-05 14:25:56+00","370","2286","16204",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2024-07-05 14:26:00+00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-669.9","-516.9","-758.2"
"2024-07-05 14:26:05+00",NULL,NULL,NULL,"-1983.8","-259.2","2341.3","-1.677","100","11.555952","46.4",NULL,NULL,NULL
"2024-07-05 14:26:10+00","366.8","2259","16214",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2024-07-05 14:26:16+00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-722.7","-520.6","-766.1"
"2024-07-05 14:26:20+00",NULL,NULL,NULL,"-2010.6","-259.4","2374.4","-1.676","100","11.427313","46.6",NULL,NULL,NULL
"2024-07-05 14:26:25+00","367.2","2275","16223",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2024-07-05 14:26:30+00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-727.7","-534.4","-770.7"
"2024-07-05 14:26:35+00",NULL,NULL,NULL,"-2037.2","-246.8","2388.9","-1.676","100","10.805604","46.9",NULL,NULL,NULL
"2024-07-05 14:26:40+00","367.4","2287","16233",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
